variant,family,act,weight,scale,target_freq_mhz,converged,wns_ns,area_um2,submodule_areas,power_default_W,submodule_powers_default,power_vcd_W,submodule_powers_vcd,critical_path_ns,achieved_fmax_mhz,vcd_valid_cycles,sigma_act,sigma_w,K,blocks,source
baseline_act-E2M1_w-E2M1_UE8M0,baseline,E2M1,E2M1,UE8M0,400,true,0.0000,897.497997,CustomOperator_E2M1_to_E2M1_0: 9.0720 (1 inst); CustomOperator_E2M1_to_E2M1_1: 9.0720 (1 inst); CustomOperator_E2M1_to_E2M1_2: 9.3240 (1 inst); CustomOperator_E2M1_to_E2M1_3: 9.0720 (1 inst); DirectToFP14b_E2M1_x_E2M1_UE8M0_wide14: 67.1580 (1 inst); FPNAdder: 381.5280 (1 inst); FixedFPTree_exp7_mant4_out14_vec4_range4: 343.0980 (1 inst); SNPS_CLOCK_GATE: 1.8900 (1 inst),2.799000e-04,CustomOperator_E2M1_to_E2M1_0: 2.760e-06 (1 inst); CustomOperator_E2M1_to_E2M1_1: 2.730e-06 (1 inst); CustomOperator_E2M1_to_E2M1_2: 2.920e-06 (1 inst); CustomOperator_E2M1_to_E2M1_3: 2.670e-06 (1 inst); DirectToFP14b_E2M1_x_E2M1_UE8M0_wide14: 2.860e-05 (1 inst); FPNAdder: 1.120e-04 (1 inst); FixedFPTree_exp7_mant4_out14_vec4_range4: 1.210e-04 (1 inst); SNPS_CLOCK_GATE: 5.910e-07 (1 inst),1.909000e-04,CustomOperator_E2M1_to_E2M1_0: 3.440e-06 (1 inst); CustomOperator_E2M1_to_E2M1_1: 3.410e-06 (1 inst); CustomOperator_E2M1_to_E2M1_2: 3.650e-06 (1 inst); CustomOperator_E2M1_to_E2M1_3: 3.220e-06 (1 inst); DirectToFP14b_E2M1_x_E2M1_UE8M0_wide14: 6.010e-06 (1 inst); FPNAdder: 4.800e-05 (1 inst); FixedFPTree_exp7_mant4_out14_vec4_range4: 7.660e-05 (1 inst); SNPS_CLOCK_GATE: 5.180e-06 (1 inst),2.5000,400.0,1059,0.372,0.0366,2048,1,e2m1_fsweep
baseline_act-E2M3_w-E2M1_UE8M0,baseline,E2M3,E2M1,UE8M0,400,true,0.0000,1045.043997,CustomOperator_E2M3_to_E2M1_0: 16.6320 (1 inst); CustomOperator_E2M3_to_E2M1_1: 16.6320 (1 inst); CustomOperator_E2M3_to_E2M1_2: 17.2620 (1 inst); CustomOperator_E2M3_to_E2M1_3: 16.6320 (1 inst); DirectToFP14b_E2M3_x_E2M1_UE8M0: 56.3220 (1 inst); FPNAdder: 386.6940 (1 inst); FixedFPTree_exp6_mant6_out6_vec4_range4: 464.9400 (1 inst); SNPS_CLOCK_GATE: 1.8900 (1 inst),3.620000e-04,CustomOperator_E2M3_to_E2M1_0: 5.160e-06 (1 inst); CustomOperator_E2M3_to_E2M1_1: 5.150e-06 (1 inst); CustomOperator_E2M3_to_E2M1_2: 5.340e-06 (1 inst); CustomOperator_E2M3_to_E2M1_3: 5.110e-06 (1 inst); DirectToFP14b_E2M3_x_E2M1_UE8M0: 2.690e-05 (1 inst); FPNAdder: 1.180e-04 (1 inst); FixedFPTree_exp6_mant6_out6_vec4_range4: 1.880e-04 (1 inst); SNPS_CLOCK_GATE: 5.930e-07 (1 inst),2.448000e-04,CustomOperator_E2M3_to_E2M1_0: 6.340e-06 (1 inst); CustomOperator_E2M3_to_E2M1_1: 6.280e-06 (1 inst); CustomOperator_E2M3_to_E2M1_2: 6.660e-06 (1 inst); CustomOperator_E2M3_to_E2M1_3: 6.080e-06 (1 inst); DirectToFP14b_E2M3_x_E2M1_UE8M0: 7.240e-06 (1 inst); FPNAdder: 5.070e-05 (1 inst); FixedFPTree_exp6_mant6_out6_vec4_range4: 1.140e-04 (1 inst); SNPS_CLOCK_GATE: 5.180e-06 (1 inst),2.5000,400.0,1059,0.372,0.0366,2048,1,5freq
baseline_act-E2M3_w-E2M3_UE8M0,baseline,E2M3,E2M3,UE8M0,400,true,0.0000,1219.805995,CustomOperator_E2M3_to_E2M3_0: 38.0520 (1 inst); CustomOperator_E2M3_to_E2M3_1: 38.0520 (1 inst); CustomOperator_E2M3_to_E2M3_2: 38.6820 (1 inst); CustomOperator_E2M3_to_E2M3_3: 38.4300 (1 inst); DirectToFP14b_E2M3_x_E2M3_UE8M0: 57.2040 (1 inst); FPNAdder: 388.4580 (1 inst); FixedFPTree_exp6_mant8_out8_vec4_range4: 549.7380 (1 inst); SNPS_CLOCK_GATE: 1.8900 (1 inst),4.615000e-04,CustomOperator_E2M3_to_E2M3_0: 1.180e-05 (1 inst); CustomOperator_E2M3_to_E2M3_1: 1.180e-05 (1 inst); CustomOperator_E2M3_to_E2M3_2: 1.200e-05 (1 inst); CustomOperator_E2M3_to_E2M3_3: 1.180e-05 (1 inst); DirectToFP14b_E2M3_x_E2M3_UE8M0: 2.750e-05 (1 inst); FPNAdder: 1.360e-04 (1 inst); FixedFPTree_exp6_mant8_out8_vec4_range4: 2.420e-04 (1 inst); SNPS_CLOCK_GATE: 5.990e-07 (1 inst),3.142000e-04,CustomOperator_E2M3_to_E2M3_0: 1.270e-05 (1 inst); CustomOperator_E2M3_to_E2M3_1: 1.250e-05 (1 inst); CustomOperator_E2M3_to_E2M3_2: 1.310e-05 (1 inst); CustomOperator_E2M3_to_E2M3_3: 1.260e-05 (1 inst); DirectToFP14b_E2M3_x_E2M3_UE8M0: 7.600e-06 (1 inst); FPNAdder: 6.000e-05 (1 inst); FixedFPTree_exp6_mant8_out8_vec4_range4: 1.460e-04 (1 inst); SNPS_CLOCK_GATE: 5.180e-06 (1 inst),2.5000,400.0,1059,0.372,0.0366,2048,1,5freq
baseline_act-E3M2_w-E2M1_UE8M0,baseline,E3M2,E2M1,UE8M0,400,true,0.0000,1236.059999,CustomOperator_E3M2_to_E2M1_0: 16.6320 (1 inst); CustomOperator_E3M2_to_E2M1_1: 16.6320 (1 inst); CustomOperator_E3M2_to_E2M1_2: 16.8840 (1 inst); CustomOperator_E3M2_to_E2M1_3: 16.8840 (1 inst); DirectToFP14b_E3M2_x_E2M1_UE8M0: 55.8180 (1 inst); FPNAdder: 391.3560 (1 inst); FixedFPTree_exp6_mant5_out5_vec4_range8: 650.6640 (1 inst); SNPS_CLOCK_GATE: 1.8900 (1 inst),4.138000e-04,CustomOperator_E3M2_to_E2M1_0: 5.290e-06 (1 inst); CustomOperator_E3M2_to_E2M1_1: 5.230e-06 (1 inst); CustomOperator_E3M2_to_E2M1_2: 5.480e-06 (1 inst); CustomOperator_E3M2_to_E2M1_3: 5.550e-06 (1 inst); DirectToFP14b_E3M2_x_E2M1_UE8M0: 2.610e-05 (1 inst); FPNAdder: 1.110e-04 (1 inst); FixedFPTree_exp6_mant5_out5_vec4_range8: 2.480e-04 (1 inst); SNPS_CLOCK_GATE: 5.960e-07 (1 inst),2.809000e-04,CustomOperator_E3M2_to_E2M1_0: 6.140e-06 (1 inst); CustomOperator_E3M2_to_E2M1_1: 6.030e-06 (1 inst); CustomOperator_E3M2_to_E2M1_2: 6.280e-06 (1 inst); CustomOperator_E3M2_to_E2M1_3: 6.190e-06 (1 inst); DirectToFP14b_E3M2_x_E2M1_UE8M0: 7.810e-06 (1 inst); FPNAdder: 5.660e-05 (1 inst); FixedFPTree_exp6_mant5_out5_vec4_range8: 1.440e-04 (1 inst); SNPS_CLOCK_GATE: 5.180e-06 (1 inst),2.5000,400.0,1059,0.372,0.0366,2048,1,5freq
baseline_act-E2M1_w-E2M1_UE7M1,baseline,E2M1,E2M1,UE7M1,400,true,0.0000,1236.689997,CustomOperator_E2M1_to_E2M1_0: 9.0720 (1 inst); CustomOperator_E2M1_to_E2M1_1: 9.0720 (1 inst); CustomOperator_E2M1_to_E2M1_2: 9.4500 (1 inst); CustomOperator_E2M1_to_E2M1_3: 9.3240 (1 inst); FPNAdder: 426.2580 (1 inst); FixedFPTree_exp7_mant4_out13_vec4_range4: 349.0200 (1 inst); SNPS_CLOCK_GATE: 1.8900 (1 inst); ScaleAddition_E2M1_to_E2M1_scale_UE7M1_wide13: 192.6540 (1 inst); ScaleToFP14b_E2M1_x_E2M1_UE7M1_wide17: 162.1620 (1 inst),3.945000e-04,CustomOperator_E2M1_to_E2M1_0: 2.700e-06 (1 inst); CustomOperator_E2M1_to_E2M1_1: 2.730e-06 (1 inst); CustomOperator_E2M1_to_E2M1_2: 2.830e-06 (1 inst); CustomOperator_E2M1_to_E2M1_3: 2.740e-06 (1 inst); FPNAdder: 1.320e-04 (1 inst); FixedFPTree_exp7_mant4_out13_vec4_range4: 1.290e-04 (1 inst); SNPS_CLOCK_GATE: 5.940e-07 (1 inst); ScaleAddition_E2M1_to_E2M1_scale_UE7M1_wide13: 5.770e-05 (1 inst); ScaleToFP14b_E2M1_x_E2M1_UE7M1_wide17: 5.630e-05 (1 inst),2.434000e-04,CustomOperator_E2M1_to_E2M1_0: 3.330e-06 (1 inst); CustomOperator_E2M1_to_E2M1_1: 3.410e-06 (1 inst); CustomOperator_E2M1_to_E2M1_2: 3.560e-06 (1 inst); CustomOperator_E2M1_to_E2M1_3: 3.280e-06 (1 inst); FPNAdder: 6.150e-05 (1 inst); FixedFPTree_exp7_mant4_out13_vec4_range4: 8.180e-05 (1 inst); SNPS_CLOCK_GATE: 5.180e-06 (1 inst); ScaleAddition_E2M1_to_E2M1_scale_UE7M1_wide13: 1.910e-05 (1 inst); ScaleToFP14b_E2M1_x_E2M1_UE7M1_wide17: 2.030e-05 (1 inst),2.5000,400.0,1059,0.372,0.0366,2048,1,e2m1_fsweep
baseline_act-INT8_w-E2M1_UE8M0,baseline,INT8,E2M1,UE8M0,400,true,0.0000,1253.825998,CustomOperator_INT8_to_E2M1_0: 33.6420 (1 inst); CustomOperator_INT8_to_E2M1_1: 33.6420 (1 inst); CustomOperator_INT8_to_E2M1_2: 33.8940 (1 inst); CustomOperator_INT8_to_E2M1_3: 33.8940 (1 inst); DirectToFP19b_INT8_x_E2M1_UE8M0: 66.0240 (1 inst); FPNAdder: 499.4640 (1 inst); FixedFPTree_exp7_mant9_out9_vec4_range2: 468.5940 (1 inst); SNPS_CLOCK_GATE: 1.8900 (1 inst),4.469000e-04,CustomOperator_INT8_to_E2M1_0: 1.110e-05 (1 inst); CustomOperator_INT8_to_E2M1_1: 1.080e-05 (1 inst); CustomOperator_INT8_to_E2M1_2: 1.100e-05 (1 inst); CustomOperator_INT8_to_E2M1_3: 1.100e-05 (1 inst); DirectToFP19b_INT8_x_E2M1_UE8M0: 3.110e-05 (1 inst); FPNAdder: 1.530e-04 (1 inst); FixedFPTree_exp7_mant9_out9_vec4_range2: 2.090e-04 (1 inst); SNPS_CLOCK_GATE: 6.520e-07 (1 inst),3.173000e-04,CustomOperator_INT8_to_E2M1_0: 1.100e-05 (1 inst); CustomOperator_INT8_to_E2M1_1: 1.050e-05 (1 inst); CustomOperator_INT8_to_E2M1_2: 1.100e-05 (1 inst); CustomOperator_INT8_to_E2M1_3: 1.040e-05 (1 inst); DirectToFP19b_INT8_x_E2M1_UE8M0: 7.980e-06 (1 inst); FPNAdder: 7.280e-05 (1 inst); FixedFPTree_exp7_mant9_out9_vec4_range2: 1.360e-04 (1 inst); SNPS_CLOCK_GATE: 5.810e-06 (1 inst),2.5000,400.0,1059,0.372,0.0366,2048,1,5freq
baseline_act-E2M1_w-E2M1_UE4M3,baseline,E2M1,E2M1,UE4M3,400,true,0.0000,1339.379997,CustomOperator_E2M1_to_E2M1_0: 9.0720 (1 inst); CustomOperator_E2M1_to_E2M1_1: 9.0720 (1 inst); CustomOperator_E2M1_to_E2M1_2: 10.0800 (1 inst); CustomOperator_E2M1_to_E2M1_3: 10.2060 (1 inst); FPNAdder: 420.3360 (1 inst); FixedFPTree_exp6_mant4_out9_vec4_range4: 422.1000 (1 inst); SNPS_CLOCK_GATE: 1.8900 (1 inst); ScaleAddition_E2M1_to_E2M1_scale_UE4M3_wide9: 253.6380 (1 inst); ScaleToFP14b_E2M1_x_E2M1_UE4M3_wide17: 134.0640 (1 inst),4.873000e-04,CustomOperator_E2M1_to_E2M1_0: 2.710e-06 (1 inst); CustomOperator_E2M1_to_E2M1_1: 2.710e-06 (1 inst); CustomOperator_E2M1_to_E2M1_2: 2.950e-06 (1 inst); CustomOperator_E2M1_to_E2M1_3: 2.900e-06 (1 inst); FPNAdder: 1.450e-04 (1 inst); FixedFPTree_exp6_mant4_out9_vec4_range4: 1.580e-04 (1 inst); SNPS_CLOCK_GATE: 5.930e-07 (1 inst); ScaleAddition_E2M1_to_E2M1_scale_UE4M3_wide9: 1.040e-04 (1 inst); ScaleToFP14b_E2M1_x_E2M1_UE4M3_wide17: 5.920e-05 (1 inst),2.726000e-04,CustomOperator_E2M1_to_E2M1_0: 3.390e-06 (1 inst); CustomOperator_E2M1_to_E2M1_1: 3.370e-06 (1 inst); CustomOperator_E2M1_to_E2M1_2: 3.660e-06 (1 inst); CustomOperator_E2M1_to_E2M1_3: 3.450e-06 (1 inst); FPNAdder: 6.120e-05 (1 inst); FixedFPTree_exp6_mant4_out9_vec4_range4: 9.760e-05 (1 inst); SNPS_CLOCK_GATE: 5.180e-06 (1 inst); ScaleAddition_E2M1_to_E2M1_scale_UE4M3_wide9: 2.900e-05 (1 inst); ScaleToFP14b_E2M1_x_E2M1_UE4M3_wide17: 2.070e-05 (1 inst),2.5000,400.0,1059,0.372,0.0366,2048,1,e2m1_fsweep
baseline_act-E3M2_w-E2M3_UE8M0,baseline,E3M2,E2M3,UE8M0,400,true,0.0000,1353.995999,CustomOperator_E3M2_to_E2M3_0: 28.2240 (1 inst); CustomOperator_E3M2_to_E2M3_1: 28.2240 (1 inst); CustomOperator_E3M2_to_E2M3_2: 28.4760 (1 inst); CustomOperator_E3M2_to_E2M3_3: 28.4760 (1 inst); DirectToFP14b_E3M2_x_E2M3_UE8M0: 58.8420 (1 inst); FPNAdder: 395.6400 (1 inst); FixedFPTree_exp6_mant7_out7_vec4_range8: 716.9400 (1 inst); SNPS_CLOCK_GATE: 1.8900 (1 inst),4.945000e-04,CustomOperator_E3M2_to_E2M3_0: 9.170e-06 (1 inst); CustomOperator_E3M2_to_E2M3_1: 9.000e-06 (1 inst); CustomOperator_E3M2_to_E2M3_2: 9.240e-06 (1 inst); CustomOperator_E3M2_to_E2M3_3: 9.240e-06 (1 inst); DirectToFP14b_E3M2_x_E2M3_UE8M0: 2.800e-05 (1 inst); FPNAdder: 1.200e-04 (1 inst); FixedFPTree_exp6_mant7_out7_vec4_range8: 3.020e-04 (1 inst); SNPS_CLOCK_GATE: 5.920e-07 (1 inst),3.237000e-04,CustomOperator_E3M2_to_E2M3_0: 9.910e-06 (1 inst); CustomOperator_E3M2_to_E2M3_1: 9.720e-06 (1 inst); CustomOperator_E3M2_to_E2M3_2: 1.000e-05 (1 inst); CustomOperator_E3M2_to_E2M3_3: 9.880e-06 (1 inst); DirectToFP14b_E3M2_x_E2M3_UE8M0: 8.200e-06 (1 inst); FPNAdder: 5.870e-05 (1 inst); FixedFPTree_exp6_mant7_out7_vec4_range8: 1.680e-04 (1 inst); SNPS_CLOCK_GATE: 5.180e-06 (1 inst),2.5000,400.0,1059,0.372,0.0366,2048,1,5freq
baseline_act-E2M1_w-E2M1_UE5M3,baseline,E2M1,E2M1,UE5M3,400,true,0.0000,1387.259997,CustomOperator_E2M1_to_E2M1_0: 9.7020 (1 inst); CustomOperator_E2M1_to_E2M1_1: 9.3240 (1 inst); CustomOperator_E2M1_to_E2M1_2: 10.2060 (1 inst); CustomOperator_E2M1_to_E2M1_3: 10.2060 (1 inst); FPNAdder: 426.8880 (1 inst); FixedFPTree_exp6_mant4_out9_vec4_range4: 427.0140 (1 inst); SNPS_CLOCK_GATE: 1.8900 (1 inst); ScaleAddition_E2M1_to_E2M1_scale_UE5M3_wide9: 273.6720 (1 inst); ScaleToFP14b_E2M1_x_E2M1_UE5M3_wide17: 149.9400 (1 inst),5.116000e-04,CustomOperator_E2M1_to_E2M1_0: 3.030e-06 (1 inst); CustomOperator_E2M1_to_E2M1_1: 2.810e-06 (1 inst); CustomOperator_E2M1_to_E2M1_2: 3.040e-06 (1 inst); CustomOperator_E2M1_to_E2M1_3: 3.030e-06 (1 inst); FPNAdder: 1.490e-04 (1 inst); FixedFPTree_exp6_mant4_out9_vec4_range4: 1.610e-04 (1 inst); SNPS_CLOCK_GATE: 5.940e-07 (1 inst); ScaleAddition_E2M1_to_E2M1_scale_UE5M3_wide9: 1.140e-04 (1 inst); ScaleToFP14b_E2M1_x_E2M1_UE5M3_wide17: 6.490e-05 (1 inst),3.132000e-04,CustomOperator_E2M1_to_E2M1_0: 3.730e-06 (1 inst); CustomOperator_E2M1_to_E2M1_1: 3.500e-06 (1 inst); CustomOperator_E2M1_to_E2M1_2: 3.780e-06 (1 inst); CustomOperator_E2M1_to_E2M1_3: 3.590e-06 (1 inst); FPNAdder: 7.060e-05 (1 inst); FixedFPTree_exp6_mant4_out9_vec4_range4: 1.010e-04 (1 inst); SNPS_CLOCK_GATE: 5.180e-06 (1 inst); ScaleAddition_E2M1_to_E2M1_scale_UE5M3_wide9: 5.100e-05 (1 inst); ScaleToFP14b_E2M1_x_E2M1_UE5M3_wide17: 2.490e-05 (1 inst),2.5000,400.0,1059,0.372,0.0366,2048,1,e2m1_fsweep
baseline_act-E2M1_w-E2M1_UE4M4,baseline,E2M1,E2M1,UE4M4,400,true,0.0000,1416.491996,CustomOperator_E2M1_to_E2M1_0: 9.3240 (1 inst); CustomOperator_E2M1_to_E2M1_1: 9.3240 (1 inst); CustomOperator_E2M1_to_E2M1_2: 9.4500 (1 inst); CustomOperator_E2M1_to_E2M1_3: 9.5760 (1 inst); FPNAdder: 413.1540 (1 inst); FixedFPTree_exp6_mant4_out7_vec4_range4: 439.8660 (1 inst); SNPS_CLOCK_GATE: 1.8900 (1 inst); ScaleAddition_E2M1_to_E2M1_scale_UE4M4_wide7: 310.3380 (1 inst); ScaleToFP14b_E2M1_x_E2M1_UE4M4_wide17: 144.1440 (1 inst),5.835000e-04,CustomOperator_E2M1_to_E2M1_0: 2.760e-06 (1 inst); CustomOperator_E2M1_to_E2M1_1: 2.750e-06 (1 inst); CustomOperator_E2M1_to_E2M1_2: 2.990e-06 (1 inst); CustomOperator_E2M1_to_E2M1_3: 2.770e-06 (1 inst); FPNAdder: 1.500e-04 (1 inst); FixedFPTree_exp6_mant4_out7_vec4_range4: 1.770e-04 (1 inst); SNPS_CLOCK_GATE: 5.940e-07 (1 inst); ScaleAddition_E2M1_to_E2M1_scale_UE4M4_wide7: 1.610e-04 (1 inst); ScaleToFP14b_E2M1_x_E2M1_UE4M4_wide17: 7.240e-05 (1 inst),3.469000e-04,CustomOperator_E2M1_to_E2M1_0: 3.460e-06 (1 inst); CustomOperator_E2M1_to_E2M1_1: 3.440e-06 (1 inst); CustomOperator_E2M1_to_E2M1_2: 3.690e-06 (1 inst); CustomOperator_E2M1_to_E2M1_3: 3.230e-06 (1 inst); FPNAdder: 7.050e-05 (1 inst); FixedFPTree_exp6_mant4_out7_vec4_range4: 1.070e-04 (1 inst); SNPS_CLOCK_GATE: 5.180e-06 (1 inst); ScaleAddition_E2M1_to_E2M1_scale_UE4M4_wide7: 6.720e-05 (1 inst); ScaleToFP14b_E2M1_x_E2M1_UE4M4_wide17: 3.530e-05 (1 inst),2.5000,400.0,1059,0.372,0.0366,2048,1,e2m1_fsweep
